"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","PopEmptyStack","","Sat Aug 09 08:19:48 GMT 2025","passed","Sat Aug 09 08:19:48 GMT 2025","","StackTest","StackTest",""
"","0","StructureIntegrity","","Sat Aug 09 08:19:48 GMT 2025","passed","Sat Aug 09 08:19:48 GMT 2025","","BTreeTest","BTreeTest",""
"","0","DequeueEmptyQueue","","Sat Aug 09 08:19:48 GMT 2025","passed","Sat Aug 09 08:19:48 GMT 2025","","QueueTest","QueueTest",""
"","0","BalanceAfterOperations","","Sat Aug 09 08:19:48 GMT 2025","passed","Sat Aug 09 08:19:48 GMT 2025","","AVLTreeTest","AVLTreeTest",""
"","0","FordFulkerson","","Sat Aug 09 08:19:49 GMT 2025","passed","Sat Aug 09 08:19:49 GMT 2025","","GraphAlgorithmsTest","GraphAlgorithmsTest",""
"","0","StructureIntegrity","","Sat Aug 09 08:19:48 GMT 2025","passed","Sat Aug 09 08:19:48 GMT 2025","","RBTreeTest","RBTreeTest",""
"","0","BasicAssertions","","Sat Aug 09 08:19:48 GMT 2025","passed","Sat Aug 09 08:19:48 GMT 2025","","NewTest","NewTest",""
"","0","LargeTree","","Sat Aug 09 08:19:48 GMT 2025","passed","Sat Aug 09 08:19:48 GMT 2025","","BinaryTreeTest","BinaryTreeTest",""
"","0","BasicAssertions","","Sat Aug 09 08:19:48 GMT 2025","passed","Sat Aug 09 08:19:48 GMT 2025","","SampleTest","SampleTest",""
"","0","BasicAssertions","","Sat Aug 09 08:19:48 GMT 2025","passed","Sat Aug 09 08:19:48 GMT 2025","","HelloTest","HelloTest",""
